state,date,precipitation
BA,31/10/2007,78.9
BA,30/11/2007,19.1
BA,31/12/2007,18.8
BA,31/01/2008,17.8
BA,29/02/2008,183.8
BA,31/03/2008,149.3
BA,30/04/2008,154.3
BA,31/05/2008,203.6
BA,30/06/2008,178.2
BA,31/07/2008,149.1
BA,31/08/2008,58.7
BA,30/09/2008,37.8
BA,31/10/2008,31.7
BA,30/11/2008,78.4
BA,31/12/2008,103.5
BA,31/01/2009,30.3
BA,28/02/2009,122.1
BA,31/03/2009,25.6
BA,30/04/2009,506.6
BA,31/05/2009,549.3
BA,30/06/2009,155.1
BA,31/07/2009,158.9
BA,31/08/2009,93.8
BA,30/09/2009,56.1
BA,31/10/2009,162.4
BA,30/11/2009,48.1
BA,31/12/2009,5.8
BA,31/01/2010,78.5
BA,28/02/2010,19.2
BA,31/03/2010,122.8
BA,30/04/2010,448.8
BA,31/05/2010,243.8
BA,30/06/2010,96.6
BA,31/07/2010,492.5
BA,31/08/2010,176.3
BA,30/09/2010,55.8
BA,31/10/2010,56.7
BA,30/11/2010,27.2
BA,31/12/2010,102.5
BA,31/01/2011,170.3
BA,28/02/2011,46.2
BA,31/03/2011,200.7
BA,30/04/2011,331.0
BA,31/05/2011,304.2
BA,30/06/2011,277.7
BA,31/07/2011,57.6
BA,31/08/2011,91.3
BA,30/09/2011,62.0
BA,31/10/2011,208.5
BA,30/11/2011,319.2
BA,31/12/2011,100.7
BA,31/01/2012,35.7
BA,29/02/2012,70.9
BA,31/03/2012,74.7
BA,30/04/2012,48.8
BA,31/05/2012,411.5
BA,30/06/2012,170.2
BA,31/07/2012,162.5
BA,31/08/2012,137.4
BA,30/09/2012,30.7
BA,31/10/2012,73.6
BA,30/11/2012,35.5
BA,31/12/2012,10.7
BA,31/01/2013,36.2
BA,28/02/2013,28.6
BA,31/03/2013,38.4
BA,30/04/2013,230.8
BA,31/05/2013,231.1
BA,30/06/2013,308.4
BA,31/07/2013,198.0
BA,31/08/2013,211.2
BA,30/09/2013,109.4
BA,31/10/2013,208.6
BA,30/11/2013,209.2
BA,31/12/2013,158.2
BA,31/01/2014,48.3
BA,28/02/2014,142.7
BA,31/03/2014,128.8
BA,30/04/2014,107.1
BA,31/05/2014,247.2
BA,30/06/2014,240.6
BA,31/07/2014,198.9
BA,31/08/2014,60.2
BA,30/09/2014,92.7
BA,31/10/2014,27.7
BA,30/11/2014,58.0
BA,31/12/2014,194.2
BA,31/01/2015,51.3
BA,28/02/2015,89.6
BA,31/03/2015,31.3
BA,30/04/2015,394.2
BA,31/05/2015,639.0
BA,30/06/2015,352.4
BA,31/07/2015,184.0
BA,31/08/2015,87.5
BA,30/09/2015,27.6
BA,31/10/2015,16.6
BA,30/11/2015,3.2
BA,31/12/2015,15.7
BA,31/01/2016,162.5
BA,29/02/2016,40.5
BA,31/03/2016,65.5
BA,30/04/2016,68.7
BA,31/05/2016,242.2
BA,30/06/2016,126.2
BA,31/07/2016,91.5
BA,31/08/2016,180.9
BA,30/09/2016,122.3
BA,31/10/2016,74.7
BA,30/11/2016,54.5
BA,31/12/2016,53.3
BA,31/01/2017,23.5
BA,28/02/2017,95.8
BA,31/03/2017,181.1
BA,30/04/2017,152.0
BA,31/05/2017,324.3
BA,30/06/2017,105.7
BA,31/07/2017,228.4
BA,31/08/2017,67.0
BA,30/09/2017,126.1
BA,31/10/2017,74.0
BA,30/11/2017,77.3
RR,31/01/1998,0.1
RR,28/02/1998,10.0
RR,31/03/1998,0.0
RR,30/04/1998,215.1
RR,31/05/1998,377.4
RR,30/06/1998,569.8
RR,31/07/1998,377.6
RR,31/08/1998,233.1
RR,30/09/1998,94.7
RR,31/10/1998,22.6
RR,30/11/1998,55.4
RR,31/12/1998,231.7
RR,31/01/1999,20.3
RR,28/02/1999,165.0
RR,31/03/1999,23.8
RR,30/04/1999,230.9
RR,31/05/1999,245.4
RR,30/06/1999,300.3
RR,31/07/1999,243.8
RR,31/08/1999,326.6
RR,30/09/1999,225.3
RR,31/10/1999,130.9
RR,30/11/1999,46.8
RR,31/12/1999,92.0
RR,31/01/2000,45.4
RR,29/02/2000,76.4
RR,31/03/2000,71.0
RR,30/04/2000,302.4
RR,31/05/2000,415.3
RR,30/06/2000,311.8
RR,31/07/2000,220.1
RR,31/08/2000,187.5
RR,30/09/2000,76.8
RR,31/10/2000,70.1
RR,30/11/2000,107.5
RR,31/12/2000,49.2
RR,31/01/2001,0.0
RR,28/02/2001,0.7
RR,31/03/2001,3.7
RR,30/04/2001,54.6
RR,31/05/2001,248.6
RR,30/06/2001,214.7
RR,31/07/2001,167.0
RR,31/08/2001,329.1
RR,30/09/2001,116.1
RR,31/10/2001,63.7
RR,30/11/2001,43.5
RR,31/12/2001,83.6
RR,31/01/2002,3.5
RR,28/02/2002,2.5
RR,31/03/2002,27.5
RR,30/04/2002,186.4
RR,31/05/2002,311.5
RR,30/06/2002,522.2
RR,31/07/2002,261.5
RR,31/08/2002,183.1
RR,30/09/2002,45.7
RR,31/10/2002,0.4
RR,30/11/2002,29.7
RR,31/12/2002,41.5
RR,31/01/2003,0.8
RR,28/02/2003,6.0
RR,31/03/2003,9.2
RR,30/04/2003,128.7
RR,31/05/2003,357.3
RR,30/06/2003,240.4
RR,31/07/2003,370.4
RR,31/08/2003,211.7
RR,30/09/2003,170.1
RR,31/10/2003,60.5
RR,30/11/2003,29.4
RR,31/12/2003,21.5
RR,31/01/2004,8.3
RR,29/02/2004,9.9
RR,31/03/2004,48.3
RR,30/04/2004,182.6
RR,31/05/2004,565.4
RR,30/06/2004,264.7
RR,31/07/2004,293.9
RR,31/08/2004,181.2
RR,30/09/2004,194.2
RR,31/10/2004,107.4
RR,30/11/2004,2.6
RR,31/12/2004,2.2
RR,31/01/2005,47.2
RR,28/02/2005,60.9
RR,31/03/2005,24.8
RR,30/04/2005,378.3
RR,31/05/2005,295.8
RR,30/06/2005,379.9
RR,31/07/2005,339.1
RR,31/08/2005,363.5
RR,30/09/2005,94.0
RR,31/10/2005,72.5
RR,30/11/2005,40.1
RR,31/12/2005,44.7
RR,31/01/2006,209.6
RR,28/02/2006,15.1
RR,31/03/2006,15.8
RR,30/04/2006,237.8
RR,31/05/2006,640.2
RR,30/06/2006,643.7
RR,31/07/2006,391.6
RR,31/08/2006,178.8
RR,30/09/2006,72.6
RR,31/10/2006,18.4
RR,30/11/2006,56.0
RR,31/12/2006,13.1
RR,31/01/2007,2.6
RR,28/02/2007,1.8
RR,31/03/2007,96.7
RR,30/04/2007,123.0
RR,31/05/2007,447.9
RR,30/06/2007,433.8
RR,31/07/2007,344.1
RR,31/08/2007,331.4
RR,30/09/2007,89.0
RR,31/10/2007,135.8
RR,30/11/2007,11.2
RR,31/12/2007,95.4
RR,31/01/2008,44.5
RR,29/02/2008,31.0
RR,31/03/2008,66.8
RR,30/04/2008,57.8
RR,31/05/2008,378.2
RR,30/06/2008,240.5
RR,31/07/2008,451.8
RR,31/08/2008,103.8
RR,30/09/2008,136.2
RR,31/10/2008,100.3
RR,30/11/2008,162.4
RR,31/12/2008,290.4
RR,31/01/2009,99.8
RR,28/02/2009,32.0
RR,31/03/2009,48.7
RR,30/04/2009,85.2
RR,31/05/2009,5.5
RR,30/06/2009,394.3
RR,31/07/2009,318.2
RR,31/08/2009,85.4
RR,30/09/2009,10.2
RR,31/10/2009,55.0
RR,30/11/2009,22.2
RR,31/12/2009,69.6
RR,31/01/2010,18.8
RR,28/02/2010,69.4
RR,31/03/2010,39.2
RR,30/04/2010,258.7
RR,31/05/2010,433.4
RR,30/06/2010,259.5
RR,31/07/2010,292.0
RR,31/08/2010,231.8
RR,30/09/2010,120.0
RR,31/10/2010,48.2
RR,30/11/2010,125.7
RR,31/12/2010,127.1
RR,31/01/2011,25.4
RR,28/02/2011,55.4
RR,31/03/2011,143.9
RR,30/04/2011,15.7
RR,31/05/2011,667.5
RR,30/06/2011,398.9
RR,31/07/2011,348.4
RR,31/08/2011,303.2
RR,30/09/2011,62.7
RR,31/10/2011,86.4
RR,30/11/2011,97.6
RR,31/12/2011,33.7
RR,31/01/2012,33.6
RR,29/02/2012,16.8
RR,31/03/2012,46.6
RR,30/04/2012,246.9
RR,31/05/2012,303.7
RR,30/06/2012,105.4
RR,31/07/2012,342.8
RR,31/08/2012,308.6
RR,30/09/2012,59.9
RR,31/10/2012,35.6
RR,30/11/2012,13.8
RR,31/12/2012,46.2
RR,31/01/2013,0.0
RR,28/02/2013,78.4
RR,31/03/2013,13.8
RR,30/04/2013,168.6
RR,31/05/2013,314.0
RR,30/06/2013,216.4
RR,31/07/2013,253.7
RR,31/08/2013,312.7
RR,30/09/2013,74.2
RR,31/10/2013,90.1
RR,30/11/2013,251.0
RR,31/12/2013,77.8
RR,31/01/2014,3.8
RR,28/02/2014,19.2
RR,31/03/2014,22.0
RR,30/04/2014,72.3
RR,31/05/2014,79.0
RR,30/06/2014,371.9
RR,31/07/2014,215.6
RR,31/08/2014,195.1
RR,30/09/2014,22.5
RR,31/10/2014,121.8
RR,30/11/2014,114.7
RR,31/12/2014,30.3
RR,31/01/2015,6.9
RR,28/02/2015,1.0
RR,31/03/2015,7.7
RR,30/04/2015,56.1
RR,31/05/2015,335.2
RR,30/06/2015,248.0
RR,31/07/2015,301.5
RR,31/08/2015,263.7
RR,30/09/2015,15.7
RR,31/10/2015,44.4
RR,30/11/2015,19.0
RR,31/12/2015,13.5
RR,31/01/2016,0.0
RR,29/02/2016,28.5
RR,31/03/2016,0.4
RR,30/04/2016,155.5
RR,31/05/2016,350.4
RR,30/06/2016,352.8
RR,31/07/2016,322.8
RR,31/08/2016,106.7
RR,30/09/2016,143.0
RR,31/10/2016,78.9
RR,30/11/2016,47.9
RR,31/12/2016,110.3
RR,31/01/2017,20.2
RR,28/02/2017,1.4
RR,31/03/2017,119.4
RR,30/04/2017,129.0
RR,31/05/2017,361.2
RR,30/06/2017,243.5
RR,31/07/2017,330.6
RR,31/08/2017,78.0
RR,30/09/2017,104.7
RR,31/10/2017,5.6
RR,30/11/2017,1.1
SE,31/01/1998,23.6
SE,28/02/1998,21.4
SE,31/03/1998,75.5
SE,30/04/1998,53.2
SE,31/05/1998,215.1
SE,30/06/1998,377.9
SE,31/07/1998,189.5
SE,31/08/1998,120.4
SE,30/09/1998,53.8
SE,31/10/1998,6.4
SE,30/11/1998,1.2
SE,31/12/1998,17.9
SE,31/01/1999,14.8
SE,28/02/1999,42.7
SE,31/03/1999,19.1
SE,30/04/1999,112.5
SE,31/05/1999,408.4
SE,30/06/1999,182.8
SE,31/07/1999,133.5
SE,31/08/1999,122.6
SE,30/09/1999,75.7
SE,31/10/1999,184.0
SE,30/11/1999,180.9
SE,31/12/1999,41.8
SE,31/01/2000,64.2
SE,29/02/2000,276.7
SE,31/03/2000,75.7
SE,30/04/2000,397.3
SE,31/05/2000,84.6
SE,30/06/2000,210.7
SE,31/07/2000,98.9
SE,31/08/2000,98.2
SE,30/09/2000,98.6
SE,31/10/2000,5.6
SE,30/11/2000,67.6
SE,31/12/2000,83.8
SE,31/01/2001,24.6
SE,28/02/2001,71.2
SE,31/03/2001,73.1
SE,30/04/2001,170.3
SE,31/05/2001,101.3
SE,30/06/2001,325.1
SE,31/07/2001,228.2
SE,31/08/2001,163.3
SE,30/09/2001,91.8
SE,31/10/2001,117.8
SE,30/11/2001,56.0
SE,31/12/2001,56.1
SE,31/01/2002,169.2
SE,28/02/2002,52.0
SE,31/03/2002,57.3
SE,30/04/2002,44.9
SE,31/05/2002,279.1
SE,30/06/2002,201.8
SE,31/07/2002,95.6
SE,31/08/2002,59.5
SE,30/09/2002,34.6
SE,31/10/2002,12.5
SE,30/11/2002,22.8
SE,31/12/2002,4.2
SE,31/01/2003,10.7
SE,28/02/2003,78.1
SE,31/03/2003,49.5
SE,30/04/2003,46.8
SE,31/05/2003,241.5
SE,30/06/2003,169.5
SE,31/07/2003,171.3
SE,31/08/2003,90.1
SE,30/09/2003,57.4
SE,31/10/2003,149.4
SE,30/11/2003,130.0
SE,31/12/2003,39.2
SE,31/01/2004,238.5
SE,29/02/2004,42.7
SE,31/03/2004,48.3
SE,30/04/2004,70.8
SE,31/05/2004,202.3
SE,30/06/2004,113.6
SE,31/07/2004,174.8
SE,31/08/2004,173.4
SE,30/09/2004,58.0
SE,31/10/2004,5.7
SE,30/11/2004,14.4
SE,31/12/2004,0.0
SE,31/01/2005,52.6
SE,28/02/2005,46.8
SE,31/03/2005,57.6
SE,30/04/2005,172.1
SE,31/05/2005,182.3
SE,30/06/2005,101.3
SE,31/07/2005,211.0
SE,31/08/2005,143.8
SE,30/09/2005,27.5
SE,31/10/2005,24.1
SE,30/11/2005,3.8
SE,31/12/2005,56.0
SE,31/01/2006,26.2
SE,28/02/2006,29.0
SE,31/03/2006,28.9
SE,30/04/2006,174.0
SE,31/05/2006,345.3
SE,30/06/2006,218.6
SE,31/07/2006,194.3
SE,31/08/2006,60.0
SE,30/09/2006,111.8
SE,31/10/2006,214.7
SE,30/11/2006,34.4
SE,31/12/2006,6.3
SE,31/01/2007,21.3
SE,28/02/2007,142.5
SE,31/03/2007,126.1
SE,30/04/2007,149.5
SE,31/05/2007,191.0
SE,30/06/2007,156.3
SE,31/07/2007,184.0
SE,31/08/2007,79.8
SE,30/09/2007,63.3
SE,31/10/2007,31.6
SE,30/11/2007,13.2
SE,31/12/2007,18.6
SE,31/01/2008,27.9
SE,29/02/2008,133.2
SE,31/03/2008,272.5
SE,30/04/2008,131.5
SE,31/05/2008,366.0
SE,30/06/2008,113.4
SE,31/07/2008,144.1
SE,31/08/2008,83.8
SE,30/09/2008,39.4
SE,31/10/2008,32.7
SE,30/11/2008,4.0
SE,31/12/2008,15.6
SE,31/01/2009,18.4
SE,28/02/2009,44.2
SE,31/03/2009,41.3
SE,30/04/2009,156.1
SE,31/05/2009,515.8
SE,30/06/2009,103.4
SE,31/07/2009,121.8
SE,31/08/2009,169.4
SE,30/09/2009,78.8
SE,31/10/2009,28.5
SE,30/11/2009,13.8
SE,31/12/2009,17.2
SE,31/01/2010,26.9
SE,28/02/2010,76.7
SE,31/03/2010,31.9
SE,30/04/2010,359.0
SE,31/05/2010,125.8
SE,30/06/2010,265.1
SE,31/07/2010,135.5
SE,31/08/2010,92.5
SE,30/09/2010,76.6
SE,31/10/2010,20.7
SE,30/11/2010,14.0
SE,31/12/2010,8.7
SE,31/01/2011,100.5
SE,28/02/2011,89.9
SE,31/03/2011,52.3
SE,30/04/2011,210.6
SE,31/05/2011,333.3
SE,30/06/2011,97.3
SE,31/07/2011,130.4
SE,31/08/2011,82.7
SE,30/09/2011,55.4
SE,31/10/2011,104.8
SE,30/11/2011,43.1
SE,31/12/2011,4.4
SE,31/01/2012,35.9
SE,29/02/2012,85.2
SE,31/03/2012,17.8
SE,30/04/2012,24.5
SE,31/05/2012,144.6
SE,30/06/2012,118.0
SE,31/07/2012,100.6
SE,31/08/2012,77.1
SE,30/09/2012,60.8
SE,31/10/2012,69.5
SE,30/11/2012,5.6
SE,31/12/2012,2.0
SE,31/01/2013,6.0
SE,28/02/2013,7.8
SE,31/03/2013,10.8
SE,30/04/2013,195.8
SE,31/05/2013,115.4
SE,30/06/2013,146.9
SE,31/07/2013,120.3
SE,31/08/2013,117.6
SE,30/09/2013,24.8
SE,31/10/2013,45.9
SE,30/11/2013,24.2
SE,31/12/2013,65.2
SE,31/01/2014,15.8
SE,28/02/2014,59.6
SE,31/03/2014,78.4
SE,30/04/2014,153.0
SE,31/05/2014,127.0
SE,30/06/2014,89.7
SE,31/07/2014,156.3
SE,31/08/2014,62.9
SE,30/09/2014,38.2
SE,31/10/2014,35.7
SE,30/11/2014,44.3
SE,31/12/2014,9.0
SE,31/01/2015,25.5
SE,28/02/2015,38.4
SE,31/03/2015,44.4
SE,30/04/2015,91.6
SE,31/05/2015,282.1
SE,30/06/2015,149.4
SE,31/07/2015,171.1
SE,31/08/2015,74.4
SE,30/09/2015,10.8
SE,31/10/2015,31.8
SE,30/11/2015,6.8
SE,31/12/2015,26.0
SE,31/01/2016,83.1
SE,29/02/2016,50.7
SE,31/03/2016,28.7
SE,30/04/2016,39.2
SE,31/05/2016,148.3
SE,30/06/2016,203.2
SE,31/07/2016,41.8
SE,31/08/2016,47.8
SE,30/09/2016,37.4
SE,31/10/2016,13.0
SE,30/11/2016,8.6
SE,31/12/2016,33.2
SE,31/01/2017,6.6
SE,28/02/2017,15.0
SE,31/03/2017,40.3
SE,30/04/2017,120.0
SE,31/05/2017,306.0
SE,30/06/2017,144.6
SE,31/07/2017,174.1
SE,31/08/2017,78.2
SE,30/09/2017,191.7
SE,31/10/2017,74.9
SE,30/11/2017,28.2
AL,31/01/1998,71.3
AL,28/02/1998,17.6
AL,31/03/1998,23.8
AL,30/04/1998,101.3
AL,31/05/1998,241.0
AL,30/06/1998,162.2
AL,31/07/1998,193.1
AL,31/08/1998,181.5
AL,30/09/1998,44.4
AL,31/10/1998,36.6
AL,30/11/1998,0.7
AL,31/12/1998,16.3
AL,31/01/1999,21.3
AL,28/02/1999,42.2
AL,31/03/1999,49.4
AL,30/04/1999,44.9
AL,31/05/1999,216.6
AL,30/06/1999,208.9
AL,31/07/1999,232.6
AL,31/08/1999,137.7
AL,30/09/1999,89.2
AL,31/10/1999,160.1
AL,30/11/1999,21.6
AL,31/12/1999,33.0
AL,31/01/2000,90.0
AL,29/02/2000,151.0
AL,31/03/2000,136.0
AL,30/04/2000,404.2
AL,31/05/2000,300.3
AL,30/06/2000,235.4
AL,31/07/2000,393.5
AL,31/08/2000,300.2
AL,30/09/2000,426.9
AL,31/10/2000,64.2
AL,30/11/2000,55.7
AL,31/01/2001,27.6
AL,28/02/2001,16.5
AL,31/03/2001,64.4
AL,30/04/2001,128.8
AL,31/05/2001,49.9
AL,30/06/2001,413.4
AL,31/07/2001,271.2
AL,31/08/2001,198.7
AL,30/09/2001,52.0
AL,31/10/2001,171.8
AL,30/11/2001,94.5
AL,31/12/2001,115.9
AL,31/01/2002,356.5
AL,28/02/2002,91.7
AL,31/03/2002,201.7
AL,30/04/2002,133.8
AL,31/05/2002,360.2
AL,30/06/2002,408.8
AL,31/07/2002,109.9
AL,31/08/2002,177.1
AL,30/09/2002,44.8
AL,31/10/2002,32.9
AL,30/11/2002,91.9
AL,31/12/2002,3.0
AL,31/01/2003,37.2
AL,28/02/2003,78.2
AL,31/03/2003,135.7
AL,30/04/2003,124.7
AL,31/05/2003,179.4
AL,30/06/2003,238.3
AL,31/07/2003,229.1
AL,31/08/2003,144.5
AL,30/09/2003,139.3
AL,31/10/2003,75.9
AL,30/11/2003,72.2
AL,31/12/2003,18.9
AL,31/01/2004,222.8
AL,29/02/2004,152.0
AL,31/03/2004,166.6
AL,30/04/2004,129.5
AL,31/05/2004,157.4
AL,30/06/2004,716.4
AL,31/07/2004,318.4
AL,31/08/2004,204.5
AL,30/09/2004,163.3
AL,31/10/2004,32.9
AL,30/11/2004,18.9
AL,31/12/2004,5.1
AL,31/01/2005,5.9
AL,28/02/2005,50.8
AL,31/03/2005,56.4
AL,30/04/2005,126.2
AL,31/05/2005,394.0
AL,30/06/2005,346.6
AL,31/07/2005,162.0
AL,31/08/2005,211.9
AL,30/09/2005,44.0
AL,31/10/2005,32.4
AL,30/11/2005,12.1
AL,31/12/2005,91.5
AL,31/01/2006,57.8
AL,28/02/2006,10.6
AL,31/03/2006,114.2
AL,30/04/2006,157.1
AL,31/05/2006,590.1
AL,30/06/2006,349.4
AL,31/07/2006,234.4
AL,31/08/2006,119.0
AL,30/09/2006,135.5
AL,31/10/2006,66.6
AL,30/11/2006,38.4
AL,31/12/2006,15.6
AL,31/01/2007,0.0
AL,28/02/2007,0.0
AL,30/09/2008,5.8
AL,31/10/2008,64.3
AL,30/11/2008,13.2
AL,31/12/2008,20.7
AL,31/01/2009,35.0
AL,28/02/2009,222.1
AL,31/03/2009,205.8
AL,30/04/2009,190.1
AL,31/05/2009,788.5
AL,30/06/2009,462.1
AL,31/07/2009,273.3
AL,31/08/2009,331.5
AL,30/09/2009,103.7
AL,31/10/2009,14.9
AL,30/11/2009,16.8
AL,31/12/2009,30.5
AL,31/01/2010,212.3
AL,28/02/2010,175.0
AL,31/03/2010,151.1
AL,30/04/2010,172.5
AL,31/05/2010,152.1
AL,30/06/2010,713.0
AL,31/07/2010,257.0
AL,31/08/2010,188.0
AL,30/09/2010,146.8
AL,31/10/2010,96.8
AL,30/11/2010,5.7
AL,31/12/2010,22.2
AL,31/01/2011,142.1
AL,28/02/2011,122.7
AL,31/03/2011,17.5
AL,30/04/2011,595.4
AL,31/05/2011,397.3
AL,30/06/2011,235.0
AL,31/07/2011,366.2
AL,31/08/2011,209.1
AL,30/09/2011,111.1
AL,31/10/2011,49.8
AL,30/11/2011,112.3
AL,31/12/2011,14.2
AL,31/01/2012,189.9
AL,29/02/2012,67.8
AL,31/03/2012,139.9
AL,30/04/2012,56.6
AL,31/05/2012,85.3
AL,30/06/2012,272.8
AL,31/07/2012,271.3
AL,31/08/2012,154.4
AL,30/09/2012,27.0
AL,31/10/2012,69.8
AL,30/11/2012,0.0
AL,31/12/2012,13.8
AL,31/01/2013,63.6
AL,28/02/2013,12.4
AL,31/03/2013,25.6
AL,30/04/2013,174.4
AL,31/05/2013,266.3
AL,30/06/2013,252.3
AL,31/07/2013,388.8
AL,31/08/2013,174.9
AL,30/09/2013,97.4
AL,31/10/2013,218.6
AL,30/11/2013,111.7
AL,31/12/2013,11.4
AL,31/01/2014,52.1
AL,28/02/2014,117.4
AL,31/03/2014,53.5
AL,30/04/2014,152.9
AL,31/05/2014,396.4
AL,30/06/2014,181.4
AL,31/07/2014,223.3
AL,31/08/2014,162.6
AL,30/09/2014,142.6
AL,31/10/2014,273.3
AL,30/11/2014,50.5
AL,31/12/2014,31.7
AL,31/01/2015,29.0
AL,28/02/2015,108.5
AL,31/03/2015,58.6
AL,30/04/2015,17.6
AL,31/05/2015,223.8
AL,30/06/2015,347.9
AL,31/07/2015,312.8
AL,31/08/2015,163.8
AL,30/09/2015,42.8
AL,31/10/2015,53.4
AL,30/11/2015,1.6
AL,31/12/2015,73.4
AL,31/01/2016,160.0
AL,29/02/2016,62.2
AL,31/03/2016,152.8
AL,30/04/2016,142.7
AL,31/05/2016,312.3
AL,30/06/2016,171.3
AL,31/07/2016,136.5
AL,31/08/2016,94.1
AL,30/09/2016,63.9
AL,31/10/2016,13.2
AL,30/11/2016,22.5
AL,31/12/2016,29.6
AL,31/01/2017,53.1
AL,28/02/2017,20.0
AL,31/03/2017,62.4
AL,30/04/2017,244.9
AL,31/05/2017,813.2
AL,30/06/2017,551.7
AL,31/07/2017,645.8
AL,31/08/2017,316.7
AL,30/09/2017,186.3
AL,31/10/2017,67.5
AL,30/11/2017,14.5
TO,31/01/1998,197.8
TO,28/02/1998,239.5
TO,31/03/1998,282.3
TO,30/04/1998,84.0
TO,31/05/1998,45.9
TO,30/06/1998,0.0
TO,31/07/1998,0.0
TO,31/08/1998,0.0
TO,30/09/1998,15.7
TO,31/10/1998,69.8
TO,30/11/1998,305.1
TO,31/12/1998,241.1
TO,31/01/1999,391.7
TO,28/02/1999,243.1
TO,31/03/1999,242.0
TO,30/04/1999,159.7
TO,31/05/1999,64.8
TO,30/06/1999,0.0
TO,31/07/1999,0.0
TO,31/08/1999,0.0
TO,30/09/1999,0.0
TO,31/10/1999,142.9
TO,30/11/1999,441.7
TO,31/12/1999,594.7
TO,31/01/2000,288.3
TO,29/02/2000,526.7
TO,31/03/2000,286.9
TO,30/04/2000,134.0
TO,31/05/2000,42.2
TO,30/06/2000,0.0
TO,31/07/2000,21.1
TO,31/08/2000,3.7
TO,30/09/2000,46.3
TO,31/10/2000,142.4
TO,30/11/2000,284.1
TO,31/12/2000,430.3
TO,31/01/2001,234.4
TO,28/02/2001,147.3
TO,31/03/2001,387.5
TO,30/04/2001,117.4
TO,31/05/2001,22.2
TO,30/06/2001,1.2
TO,31/07/2001,0.0
TO,31/08/2001,0.0
TO,30/09/2001,129.1
TO,31/10/2001,373.4
TO,30/11/2001,420.4
TO,31/12/2001,338.6
TO,31/01/2002,431.7
TO,28/02/2002,195.1
TO,31/03/2002,233.0
TO,30/04/2002,107.8
TO,31/05/2002,55.0
TO,30/06/2002,0.0
TO,31/07/2002,0.0
TO,31/08/2002,0.0
TO,30/09/2002,76.1
TO,31/10/2002,145.0
TO,30/11/2002,214.5
TO,31/12/2002,238.6
TO,31/01/2003,487.1
