Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
El Salvador, 2010,26000[20000–31000],26000,20000,31000,Americas
Equatorial Guinea, 2010,35000[29000–41000],35000,29000,41000,Africa
Eritrea, 2010,17000[13000–22000],17000,13000,22000,Africa
Estonia, 2010,6000[5100–6700],6000,5100,6700,Europe
Eswatini, 2010,160000[150000–170000],160000,150000,170000,Africa
Ethiopia, 2010,630000[480000–830000],630000,480000,830000,Africa
Fiji, 2010,na,,,,Western Pacific
Finland, 2010,2700[2200–3500],2700,2200,3500,Europe
France, 2010,140000[120000–160000],140000,120000,160000,Europe
Gabon, 2010,43000[36000–51000],43000,36000,51000,Africa
Gambia, 2010,18000[15000–23000],18000,15000,23000,Africa
Georgia, 2010,5600[4500–6700],5600,4500,6700,Europe
Germany, 2010,69000[57000–81000],69000,57000,81000,Europe
Ghana, 2010,300000[250000–340000],300000,250000,340000,Africa
Greece, 2010,na,,,,Europe
Guatemala, 2010,49000[44000–53000],49000,44000,53000,Americas
Guinea, 2010,100000[90000–120000],100000,90000,120000,Africa
Guinea-Bissau, 2010,38000[34000–42000],38000,34000,42000,Africa
Guyana, 2010,6700[6000–7400],6700,6000,7400,Americas
Haiti, 2010,140000[130000–160000],140000,130000,160000,Americas
Honduras, 2010,26000[21000–32000],26000,21000,32000,Americas
Hungary, 2010,2000[1800–2300],2000,1800,2300,Europe
Iceland, 2010,500[200–500],500,200,500,Europe
India, 2010,na,,,,South-East Asia
Indonesia, 2010,510000[450000–590000],510000,450000,590000,South-East Asia
Iran (Islamic Republic of), 2010,50000[37000–70000],50000,37000,70000,Eastern Mediterranean
Ireland, 2010,4800[4200–5400],4800,4200,5400,Europe
Israel, 2010,6000[5400–6800],6000,5400,6800,Europe
Italy, 2010,110000[92000–120000],110000,92000,120000,Europe
Jamaica, 2010,37000[32000–42000],37000,32000,42000,Americas
Japan, 2010,19000[16000–22000],19000,16000,22000,Western Pacific
Jordan, 2010,200[200–500],200,200,500,Eastern Mediterranean
Kazakhstan, 2010,11000[10000–11000],11000,10000,11000,Europe
Kenya, 2010,1500000[1200000–1800000],1500000,1200000,1800000,Africa
Kuwait, 2010,500[500–500],500,500,500,Eastern Mediterranean
Kyrgyzstan, 2010,4100[3200–5500],4100,3200,5500,Europe
Lao People's Democratic Republic, 2010,9900[8800–11000],9900,8800,11000,Western Pacific
Latvia, 2010,4000[3500–4500],4000,3500,4500,Europe
Lebanon, 2010,1600[1400–1800],1600,1400,1800,Eastern Mediterranean
Lesotho, 2010,300000[280000–320000],300000,280000,320000,Africa
Liberia, 2010,41000[37000–46000],41000,37000,46000,Africa
Libya, 2010,6100[5600–6500],6100,5600,6500,Eastern Mediterranean
Lithuania, 2010,na,,,,Europe
Luxembourg, 2010,700[620–780],700,620,780,Europe
Madagascar, 2010,21000[18000–24000],21000,18000,24000,Africa
Malawi, 2010,870000[770000–960000],870000,770000,960000,Africa
Malaysia, 2010,74000[65000–86000],74000,65000,86000,Western Pacific
Maldives, 2010,na,,,,South-East Asia
Mali, 2010,120000[94000–140000],120000,94000,140000,Africa
Malta, 2010,na,,,,Europe
Mauritania, 2010,7100[5900–8400],7100,5900,8400,Africa
Mauritius, 2010,11000[9500–12000],11000,9500,12000,Africa
Mexico, 2010,180000[150000–210000],180000,150000,210000,Americas
Mongolia, 2010,500[500–500],500,500,500,Western Pacific
Montenegro, 2010,200[200–200],200,200,200,Europe
Morocco, 2010,17000[13000–22000],17000,13000,22000,Eastern Mediterranean
Mozambique, 2010,1600000[1300000–1900000],1600000,1300000,1900000,Africa
Myanmar, 2010,220000[190000–260000],220000,190000,260000,South-East Asia
Namibia, 2010,170000[160000–180000],170000,160000,180000,Africa
Nepal, 2010,31000[27000–36000],31000,27000,36000,South-East Asia
Netherlands, 2010,20000[19000–21000],20000,19000,21000,Europe
New Zealand, 2010,2500[2100–2800],2500,2100,2800,Western Pacific
Nicaragua, 2010,7900[6500–10000],7900,6500,10000,Americas
Niger, 2010,37000[32000–42000],37000,32000,42000,Africa
Nigeria, 2010,1500000[1100000–2100000],1500000,1100000,2100000,Africa
Norway, 2010,4200[3800–4600],4200,3800,4600,Europe
Oman, 2010,2200[2000–2500],2200,2000,2500,Eastern Mediterranean
Pakistan, 2010,67000[57000–76000],67000,57000,76000,Eastern Mediterranean
Panama, 2010,20000[18000–22000],20000,18000,22000,Americas
Papua New Guinea, 2010,38000[34000–42000],38000,34000,42000,Western Pacific
Paraguay, 2010,20000[14000–27000],20000,14000,27000,Americas
Peru, 2010,65000[49000–91000],65000,49000,91000,Americas
Philippines, 2010,15000[13000–18000],15000,13000,18000,Western Pacific
Poland, 2010,na,,,,Europe
Portugal, 2010,40000[35000–45000],40000,35000,45000,Europe
Qatar, 2010,na,,,,Eastern Mediterranean
Republic of Korea, 2010,na,,,,Western Pacific
Republic of Moldova, 2010,16000[12000–20000],16000,12000,20000,Europe
Republic of North Macedonia, 2010,200[200–200],200,200,200,Europe
Romania, 2010,14000[12000–15000],14000,12000,15000,Europe
Russian Federation, 2010,na,,,,Europe
Rwanda, 2010,220000[200000–250000],220000,200000,250000,Africa
Saudi Arabia, 2010,na,,,,Eastern Mediterranean
Senegal, 2010,44000[39000–50000],44000,39000,50000,Africa
Serbia, 2010,1800[1300–2200],1800,1300,2200,Europe
Sierra Leone, 2010,58000[48000–70000],58000,48000,70000,Africa
Singapore, 2010,6500[5700–7300],6500,5700,7300,Western Pacific
Slovakia, 2010,500[500–730],500,500,730,Europe
Slovenia, 2010,na,,,,Europe
Somalia, 2010,17000[15000–20000],17000,15000,20000,Eastern Mediterranean
South Africa, 2010,6100000[5500000–6600000],6100000,5500000,6600000,Africa
South Sudan, 2010,140000[110000–170000],140000,110000,170000,Africa
Spain, 2010,140000[120000–150000],140000,120000,150000,Europe
Sri Lanka, 2010,4000[3400–4700],4000,3400,4700,South-East Asia
Sudan, 2010,43000[36000–51000],43000,36000,51000,Eastern Mediterranean
Suriname, 2010,4600[3300–6200],4600,3300,6200,Americas
Sweden, 2010,na,,,,Europe
Switzerland, 2010,na,,,,Europe
Syrian Arab Republic, 2010,570[510–630],570,510,630,Eastern Mediterranean
Tajikistan, 2010,9200[7500–11000],9200,7500,11000,Europe
Thailand, 2010,580000[490000–690000],580000,490000,690000,South-East Asia
Timor-Leste, 2010,na,,,,South-East Asia
Togo, 2010,100000[96000–110000],100000,96000,110000,Africa
Trinidad and Tobago, 2010,na,,,,Americas
Tunisia, 2010,1400[980–2200],1400,980,2200,Eastern Mediterranean
Turkey, 2010,na,,,,Europe
Turkmenistan, 2010,na,,,,Europe
Uganda, 2010,1200000[1100000–1300000],1200000,1100000,1300000,Africa
Ukraine, 2010,230000[220000–250000],230000,220000,250000,Europe
United Arab Emirates, 2010,na,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland, 2010,na,,,,Europe
United Republic of Tanzania, 2010,1300000[1100000–1400000],1300000,1100000,1400000,Africa
United States of America, 2010,990000[880000–1100000],990000,880000,1100000,Americas
Uruguay, 2010,9600[8000–11000],9600,8000,11000,Americas
Uzbekistan, 2010,30000[27000–32000],30000,27000,32000,Europe
Venezuela (Bolivarian Republic of), 2010,na,,,,Americas
Viet Nam, 2010,220000[180000–250000],220000,180000,250000,Western Pacific
Yemen, 2010,5100[3500–7400],5100,3500,7400,Eastern Mediterranean
Zambia, 2010,1000000[900000–1100000],1000000,900000,1100000,Africa
Zimbabwe, 2010,1200000[1100000–1400000],1200000,1100000,1400000,Africa
Afghanistan, 2005,2900[1700–5000],2900,1700,5000,Eastern Mediterranean
Albania, 2005,na,,,,Europe
Algeria, 2005,3700[3500–4000],3700,3500,4000,Africa
Angola, 2005,150000[120000–170000],150000,120000,170000,Africa
Argentina, 2005,85000[76000–94000],85000,76000,94000,Americas
Armenia, 2005,2700[2000–3500],2700,2000,3500,Europe
Australia, 2005,16000[14000–19000],16000,14000,19000,Western Pacific
Austria, 2005,na,,,,Europe
Azerbaijan, 2005,na,,,,Europe
Bahamas, 2005,5100[4400–6000],5100,4400,6000,Americas
Bahrain, 2005,na,,,,Eastern Mediterranean
Bangladesh, 2005,4000[3500–4600],4000,3500,4600,South-East Asia
Barbados, 2005,1700[1500–1900],1700,1500,1900,Americas
Belarus, 2005,5400[4500–6700],5400,4500,6700,Europe
Belgium, 2005,na,,,,Europe
Belize, 2005,2800[2600–3100],2800,2600,3100,Americas
Benin, 2005,56000[37000–90000],56000,37000,90000,Africa
Bhutan, 2005,1100[500–2000],1100,500,2000,South-East Asia
Bolivia (Plurinational State of), 2005,26000[24000–28000],26000,24000,28000,Americas
Bosnia and Herzegovina, 2005,200[100–200],200,100,200,Europe
Botswana, 2005,310000[280000–330000],310000,280000,330000,Africa
Brazil, 2005,550000[420000–680000],550000,420000,680000,Americas
Brunei Darussalam, 2005,na,,,,Western Pacific
Bulgaria, 2005,980[910–1100],980,910,1100,Europe
Burkina Faso, 2005,120000[95000–140000],120000,95000,140000,Africa
Burundi, 2005,110000[88000–120000],110000,88000,120000,Africa
Cabo Verde, 2005,1800[1400–2700],1800,1400,2700,Africa
Cambodia, 2005,82000[70000–97000],82000,70000,97000,Western Pacific
Cameroon, 2005,470000[430000–500000],470000,430000,500000,Africa
Canada, 2005,na,,,,Americas
Central African Republic, 2005,150000[130000–170000],150000,130000,170000,Africa
Chad, 2005,88000[69000–110000],88000,69000,110000,Africa
Chile, 2005,25000[22000–27000],25000,22000,27000,Americas
China, 2005,na,,,,Western Pacific
Colombia, 2005,120000[98000–140000],120000,98000,140000,Americas
Comoros, 2005,100[100–200],100,100,200,Africa
Congo, 2005,77000[63000–90000],77000,63000,90000,Americas
Costa Rica, 2005,6500[5800–7200],6500,5800,7200,Americas
Côte d'Ivoire, 2005,510000[410000–650000],510000,410000,650000,Africa
Croatia, 2005,710[630–800],710,630,800,Europe
Cuba, 2005,9000[6700–11000],9000,6700,11000,Americas
Cyprus, 2005,na,,,,Europe
Czechia, 2005,970[820–1100],970,820,1100,Europe
Democratic People's Republic of Korea, 2005,na,,,,Western Pacific
Democratic Republic of the Congo, 2005,510000[430000–590000],510000,430000,590000,Africa
Denmark, 2005,4900[4500–5500],4900,4500,5500,Europe
Djibouti, 2005,11000[9000–13000],11000,9000,13000,Eastern Mediterranean
Dominican Republic, 2005,79000[61000–100000],79000,61000,100000,Americas
Ecuador, 2005,29000[19000–49000],29000,19000,49000,Americas
Egypt, 2005,3200[2800–3500],3200,2800,3500,Eastern Mediterranean
El Salvador, 2005,23000[17000–28000],23000,17000,28000,Americas
Equatorial Guinea, 2005,22000[17000–28000],22000,17000,28000,Africa
Eritrea, 2005,17000[13000–22000],17000,13000,22000,Africa
Estonia, 2005,5400[4600–6000],5400,4600,6000,Europe
Eswatini, 2005,130000[120000–140000],130000,120000,140000,Africa
Ethiopia, 2005,640000[490000–840000],640000,490000,840000,Africa
Fiji, 2005,na,,,,Western Pacific
Finland, 2005,1900[1500–2400],1900,1500,2400,Europe
France, 2005,110000[95000–130000],110000,95000,130000,Europe
Gabon, 2005,35000[27000–43000],35000,27000,43000,Africa
Gambia, 2005,15000[11000–19000],15000,11000,19000,Africa
Georgia, 2005,2800[2300–3400],2800,2300,3400,Europe
Germany, 2005,56000[46000–65000],56000,46000,65000,Europe
Ghana, 2005,280000[240000–320000],280000,240000,320000,Africa
Greece, 2005,na,,,,Europe
Guatemala, 2005,48000[44000–51000],48000,44000,51000,Americas
Guinea, 2005,93000[81000–110000],93000,81000,110000,Africa
Guinea-Bissau, 2005,31000[28000–35000],31000,28000,35000,Africa
Guyana, 2005,5000[4400–5700],5000,4400,5700,Americas
Haiti, 2005,140000[120000–160000],140000,120000,160000,Americas
Honduras, 2005,31000[24000–38000],31000,24000,38000,Americas
Hungary, 2005,1200[1000–1300],1200,1000,1300,Europe
Iceland, 2005,200[200–200],200,200,200,Europe
India, 2005,na,,,,South-East Asia
Indonesia, 2005,290000[260000–330000],290000,260000,330000,South-East Asia
Iran (Islamic Republic of), 2005,37000[25000–56000],37000,25000,56000,Eastern Mediterranean
Ireland, 2005,3200[2800–3600],3200,2800,3600,Europe
Israel, 2005,4100[3700–4600],4100,3700,4600,Europe
Italy, 2005,89000[76000–100000],89000,76000,100000,Europe
Jamaica, 2005,38000[33000–42000],38000,33000,42000,Americas
Japan, 2005,12000[9700–14000],12000,9700,14000,Western Pacific
Jordan, 2005,200[200–200],200,200,200,Eastern Mediterranean
Kazakhstan, 2005,4000[3800–4300],4000,3800,4300,Europe
Kenya, 2005,1500000[1300000–1900000],1500000,1300000,1900000,Africa
Kuwait, 2005,500[500–500],500,500,500,Eastern Mediterranean
Kyrgyzstan, 2005,1500[1300–1900],1500,1300,1900,Europe
Lao People's Democratic Republic, 2005,6700[6000–7500],6700,6000,7500,Western Pacific
Latvia, 2005,3200[2900–3600],3200,2900,3600,Europe
Lebanon, 2005,1300[1100–1400],1300,1100,1400,Eastern Mediterranean
Lesotho, 2005,280000[260000–300000],280000,260000,300000,Africa
Liberia, 2005,41000[38000–45000],41000,38000,45000,Africa
Libya, 2005,2900[2700–3100],2900,2700,3100,Eastern Mediterranean
Lithuania, 2005,na,,,,Europe
Luxembourg, 2005,500[500–540],500,500,540,Europe
Madagascar, 2005,19000[15000–23000],19000,15000,23000,Africa
Malawi, 2005,820000[720000–900000],820000,720000,900000,Africa
Malaysia, 2005,66000[57000–77000],66000,57000,77000,Western Pacific
Maldives, 2005,na,,,,South-East Asia
Mali, 2005,110000[91000–130000],110000,91000,130000,Africa
Malta, 2005,na,,,,Europe
Mauritania, 2005,7500[6400–8800],7500,6400,8800,Africa
Mauritius, 2005,8000[6100–11000],8000,6100,11000,Africa
Mexico, 2005,150000[120000–200000],150000,120000,200000,Americas
Mongolia, 2005,500[200–500],500,200,500,Western Pacific
Montenegro, 2005,100[100–100],100,100,100,Europe
Morocco, 2005,13000[11000–18000],13000,11000,18000,Eastern Mediterranean
Mozambique, 2005,1200000[980000–1500000],1200000,980000,1500000,Africa
Myanmar, 2005,210000[180000–240000],210000,180000,240000,South-East Asia
Namibia, 2005,160000[140000–170000],160000,140000,170000,Africa
Nepal, 2005,29000[25000–33000],29000,25000,33000,South-East Asia
