Country,Received Antiretrovirals,Needing antiretrovirals,Percentage Recieved,Needing antiretrovirals_median,Needing antiretrovirals_min,Needing antiretrovirals_max,Percentage Recieved_median,Percentage Recieved_min,Percentage Recieved_max,WHO Region
Mauritius,110,100[100–100],95[95–95],100,100,100,95,95,95,Africa
Mexico,No data,Nodata,Nodata,,,,,,,Americas
Mongolia,No data,Nodata,Nodata,,,,,,,Western Pacific
Montenegro,No data,Nodata,Nodata,,,,,,,Europe
Morocco,220,500[500–500],61[50–78],500,500,500,61,50,78,Eastern Mediterranean
Mozambique,109 000,110000[78000–140000],95[73–95],110000,78000,140000,95,73,95,Africa
Myanmar,4300,5400[4700–6100],80[69–89],5400,4700,6100,80,69,89,South-East Asia
Namibia,12 100,10000[8200–12000],95[92–95],10000,8200,12000,95,92,95,Africa
Nepal,150,500[500–500],51[43–60],500,500,500,51,43,60,South-East Asia
Netherlands,No data,Nodata,Nodata,,,,,,,Europe
New Zealand,0,Nodata,Nodata,,,,,,,Western Pacific
Nicaragua,120,200[200–200],90[73–95],200,200,200,90,73,95,Americas
Niger,940,1600[1400–2000],58[48–70],1600,1400,2000,58,48,70,Africa
Nigeria,43 700,100000[65000–140000],44[28–62],100000,65000,140000,44,28,62,Africa
Norway,No data,Nodata,Nodata,,,,,,,Europe
Oman,40,Nodata,Nodata,,,,,,,Eastern Mediterranean
Pakistan,320,3200[2700–3800],10[8–12],3200,2700,3800,10,8,12,Eastern Mediterranean
Panama,190,500[200–500],92[83–95],500,200,500,92,83,95,Americas
Papua New Guinea,960,1200[910–1500],79[59–95],1200,910,1500,79,59,95,Western Pacific
Paraguay,250,500[200–500],88[60–95],500,200,500,88,60,95,Americas
Peru,930,1100[880–1500],85[67–95],1100,880,1500,85,67,95,Americas
Philippines,70,500[500–500],18[15–22],500,500,500,18,15,22,Western Pacific
Poland,No data,Nodata,Nodata,,,,,,,Europe
Portugal,No data,200[100–200],Nodata,200,100,200,,,,Europe
Qatar,No data,Nodata,Nodata,,,,,,,Eastern Mediterranean
Republic of Korea,No data,Nodata,Nodata,,,,,,,Western Pacific
Republic of Moldova,180,500[200–500],73[54–95],500,200,500,73,54,95,Europe
Republic of North Macedonia,No data,Nodata,Nodata,,,,,,,Europe
Romania,230,200[200–200],95[95–95],200,200,200,95,95,95,Europe
Russian Federation,13 600,Nodata,Nodata,,,,,,,Europe
Rwanda,8600,8100[6000–9400],95[79–95],8100,6000,9400,95,79,95,Africa
Saudi Arabia,40,Nodata,Nodata,,,,,,,Eastern Mediterranean
Senegal,1400,2200[1800–2500],65[56–75],2200,1800,2500,65,56,75,Africa
Serbia,No data,Nodata,Nodata,,,,,,,Europe
Sierra Leone,4400,Nodata,Nodata,,,,,,,Africa
Singapore,20,Nodata,Nodata,,,,,,,Western Pacific
Slovakia,No data,Nodata,Nodata,,,,,,,Europe
Slovenia,No data,Nodata,Nodata,,,,,,,Europe
Somalia,90,500[500–730],19[14–31],500,500,730,19,14,31,Eastern Mediterranean
South Africa,248 000,290000[210000–350000],87[63–95],290000,210000,350000,87,63,95,Africa
South Sudan,5500,9900[7200–13000],56[41–74],9900,7200,13000,56,41,74,Africa
Spain,No data,500[200–500],Nodata,500,200,500,,,,Europe
Sri Lanka,20,Nodata,Nodata,,,,,,,South-East Asia
Sudan,100,2000[760–3700],5[2–9],2000,760,3700,5,2,9,Eastern Mediterranean
Suriname,90,100[100–100],95[84–95],100,100,100,95,84,95,Americas
Sweden,No data,Nodata,Nodata,,,,,,,Europe
Switzerland,No data,Nodata,Nodata,,,,,,,Europe
Syrian Arab Republic,10,Nodata,Nodata,,,,,,,Eastern Mediterranean
Tajikistan,220,500[500–560],46[39–56],500,500,560,46,39,56,Europe
Thailand,3800,3900[3200–4500],95[81–95],3900,3200,4500,95,81,95,South-East Asia
Timor-Leste,No data,Nodata,Nodata,,,,,,,South-East Asia
Togo,4300,5400[4200–6200],80[62–92],5400,4200,6200,80,62,92,Africa
Trinidad and Tobago,No data,Nodata,Nodata,,,,,,,Americas
Tunisia,10,Nodata,Nodata,,,,,,,Eastern Mediterranean
Turkey,No data,Nodata,Nodata,,,,,,,Europe
Turkmenistan,No data,Nodata,,,,,,,,Europe
Uganda,94 800,100000[81000–120000],93[73–95],100000,81000,120000,93,73,95,Africa
Ukraine,2200,2200[1900–2500],95[89–95],2200,1900,2500,95,89,95,Europe
United Arab Emirates,10,Nodata,Nodata,,,,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland,No data,Nodata,Nodata,,,,,,,Europe
United Republic of Tanzania,77 000,83000[62000–98000],93[70–95],83000,62000,98000,93,70,95,Africa
United States of America,No data,Nodata,Nodata,,,,,,,Americas
Uruguay,140,200[100–200],95[71–95],200,100,200,95,71,95,Americas
Uzbekistan,540,1500[1400–1600],35[33–38],1500,1400,1600,35,33,38,Europe
Venezuela (Bolivarian Republic of),410,Nodata,Nodata,,,,,,,Americas
Viet Nam,1900,2400[2000–2800],81[69–95],2400,2000,2800,81,69,95,Western Pacific
Yemen,30,500[200–500],13[8–20],500,200,500,13,8,20,Eastern Mediterranean
Zambia,56 500,48000[38000–57000],95[94–95],48000,38000,57000,95,94,95,Africa
Zimbabwe,59 600,63000[48000–76000],94[71–95],63000,48000,76000,94,71,95,Africa
