Country,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Iran (Islamic Republic of),12400,61000[34000–120000],20[11–39],61000,34000,120000,20,11,39,Eastern Mediterranean
Ireland,5700,7200[6200–8000],80[69–89],7200,6200,8000,80,69,89,Europe
Israel,Nodata,9000[8000–10000],Nodata,9000,8000,10000,,,,Europe
Italy,118000,130000[110000–140000],91[78–95],130000,110000,140000,91,78,95,Europe
Jamaica,12600,40000[35000–46000],31[27–36],40000,35000,46000,31,27,36,Americas
Japan,23700,30000[25000–34000],80[68–92],30000,25000,34000,80,68,92,Western Pacific
Jordan,310,500[500–500],84[76–95],500,500,500,84,76,95,Eastern Mediterranean
Kazakhstan,15000,26000[24000–27000],58[54–62],26000,24000,27000,58,54,62,Europe
Kenya,1068000,1600000[1300000–1900000],68[58–82],1600000,1300000,1900000,68,58,82,Africa
Kuwait,400,640[580–700],62[55–67],640,580,700,62,55,67,Eastern Mediterranean
Kyrgyzstan,3700,8500[6500–12000],43[33–59],8500,6500,12000,43,33,59,Europe
Lao People's Democratic Republic,6500,12000[11000–14000],54[48–62],12000,11000,14000,54,48,62,Western Pacific
Latvia,2400,5300[4800–5900],45[41–50],5300,4800,5900,45,41,50,Europe
Lebanon,1500,2500[2200–2800],60[53–67],2500,2200,2800,60,53,67,Eastern Mediterranean
Lesotho,206000,340000[320000–360000],61[57–65],340000,320000,360000,61,57,65,Africa
Liberia,13900,39000[36000–44000],35[32–39],39000,36000,44000,35,32,39,Africa
Libya,4100,9200[8300–10000],44[40–49],9200,8300,10000,44,40,49,Eastern Mediterranean
Lithuania,Nodata,Nodata,Nodata,,,,,,,Europe
Luxembourg,890,1200[1000–1300],77[67–86],1200,1000,1300,77,67,86,Europe
Madagascar,3500,39000[30000–55000],9[7–13],39000,30000,55000,9,7,13,Africa
Malawi,814000,1000000[940000–1100000],78[70–84],1000000,940000,1100000,78,70,84,Africa
Malaysia,41500,87000[77000–98000],48[42–53],87000,77000,98000,48,42,53,Western Pacific
Maldives,Nodata,Nodata,Nodata,,,,,,,South-East Asia
Mali,47100,150000[120000–190000],31[25–39],150000,120000,190000,31,25,39,Africa
Malta,Nodata,Nodata,Nodata,,,,,,,Europe
Mauritania,3000,5600[4500–7200],54[44–69],5600,4500,7200,54,44,69,Africa
Mauritius,2800,13000[10000–15000],22[18–26],13000,10000,15000,22,18,26,Africa
Mexico,165000,230000[200000–270000],70[60–80],230000,200000,270000,70,60,80,Americas
Mongolia,200,600[530–670],32[29–36],600,530,670,32,29,36,Western Pacific
Montenegro,160,500[500–500],40[34–46],500,500,500,40,34,46,Europe
Morocco,13600,21000[17000–28000],65[52–86],21000,17000,28000,65,52,86,Eastern Mediterranean
Mozambique,1213000,2200000[1700000–2700000],56[44–68],2200000,1700000,2700000,56,44,68,Africa
Myanmar,167000,240000[210000–270000],70[63–79],240000,210000,270000,70,63,79,South-East Asia
Namibia,184000,200000[190000–220000],92[84–95],200000,190000,220000,92,84,95,Africa
Nepal,16900,30000[26000–34000],56[50–65],30000,26000,34000,56,50,65,South-East Asia
Netherlands,Nodata,Nodata,Nodata,,,,,,,Europe
New Zealand,2700,3600[3100–4200],73[62–84],3600,3100,4200,73,62,84,Western Pacific
Nicaragua,5000,9400[7600–12000],53[43–68],9400,7600,12000,53,43,68,Americas
Niger,19800,36000[30000–43000],54[45–65],36000,30000,43000,54,45,65,Africa
Nigeria,1016000,1900000[1400000–2600000],53[40–71],1900000,1400000,2600000,53,40,71,Africa
Norway,4700,5800[5200–6300],82[74–90],5800,5200,6300,82,74,90,Europe
Oman,1300,3200[2900–3600],41[37–45],3200,2900,3600,41,37,45,Eastern Mediterranean
Pakistan,15800,160000[140000–190000],10[9–11],160000,140000,190000,10,9,11,Eastern Mediterranean
Panama,14200,26000[24000–29000],54[48–59],26000,24000,29000,54,48,59,Americas
Papua New Guinea,29400,45000[41000–50000],65[58–71],45000,41000,50000,65,58,71,Western Pacific
Paraguay,8500,21000[16000–31000],40[31–58],21000,16000,31000,40,31,58,Americas
Peru,57800,79000[58000–110000],73[54–95],79000,58000,110000,73,54,95,Americas
Philippines,33600,77000[65000–90000],44[37–51],77000,65000,90000,44,37,51,Western Pacific
Poland,Nodata,Nodata,Nodata,,,,,,,Europe
Portugal,37200,41000[36000–46000],90[78–95],41000,36000,46000,90,78,95,Europe
Qatar,150,Nodata,Nodata,,,,,,,Eastern Mediterranean
Republic of Korea,Nodata,Nodata,Nodata,,,,,,,Western Pacific
Republic of Moldova,6000,17000[14000–23000],34[27–45],17000,14000,23000,34,27,45,Europe
Republic of North Macedonia,240,500[500–520],54[47–63],500,500,520,54,47,63,Europe
Romania,12100,18000[16000–20000],67[60–73],18000,16000,20000,67,60,73,Europe
Russian Federation,Nodata,Nodata,Nodata,,,,,,,Europe
Rwanda,194000,220000[200000–250000],87[76–95],220000,200000,250000,87,76,95,Africa
Saudi Arabia,6300,Nodata,Nodata,,,,,,,Eastern Mediterranean
Senegal,26600,42000[37000–47000],63[55–71],42000,37000,47000,63,55,71,Africa
Serbia,2000,3000[2200–3800],65[47–83],3000,2200,3800,65,47,83,Europe
Sierra Leone,28400,70000[56000–86000],41[33–50],70000,56000,86000,41,33,50,Africa
Singapore,6200,7900[7200–8700],78[71–86],7900,7200,8700,78,71,86,Western Pacific
Slovakia,650,1200[910–1900],54[40–85],1200,910,1900,54,40,85,Europe
Slovenia,Nodata,Nodata,Nodata,,,,,,,Europe
Somalia,3300,11000[8400–15000],30[23–41],11000,8400,15000,30,23,41,Eastern Mediterranean
South Africa,4788000,7700000[7100000–8300000],62[57–66],7700000,7100000,8300000,62,57,66,Africa
South Sudan,30700,190000[140000–240000],16[12–20],190000,140000,240000,16,12,20,Africa
Spain,125000,150000[130000–170000],84[73–94],150000,130000,170000,84,73,94,Europe
Sri Lanka,1600,3500[3100–4000],45[40–52],3500,3100,4000,45,40,52,South-East Asia
Sudan,9000,59000[26000–110000],15[7–28],59000,26000,110000,15,7,28,Eastern Mediterranean
Suriname,2900,5600[3700–8100],52[35–75],5600,3700,8100,52,35,75,Americas
Sweden,Nodata,Nodata,Nodata,,,,,,,Europe
Switzerland,14800,Nodata,Nodata,,,,,,,Europe
Syrian Arab Republic,130,660[590–720],20[18–22],660,590,720,20,18,22,Eastern Mediterranean
Tajikistan,6000,13000[11000–16000],46[38–56],13000,11000,16000,46,38,56,Europe
Thailand,359000,480000[420000–550000],75[66–86],480000,420000,550000,75,66,86,South-East Asia
Timor-Leste,Nodata,Nodata,Nodata,,,,,,,South-East Asia
Togo,64800,110000[100000–120000],60[56–65],110000,100000,120000,60,56,65,Africa
Trinidad and Tobago,Nodata,Nodata,Nodata,,,,,,,Americas
Tunisia,1100,2800[1700–4400],39[24–61],2800,1700,4400,39,24,61,Eastern Mediterranean
Turkey,Nodata,Nodata,Nodata,,,,,,,Europe
Turkmenistan,Nodata,Nodata,Nodata,,,,,,,Europe
Uganda,1004000,1400000[1300000–1500000],72[68–78],1400000,1300000,1500000,72,68,78,Africa
Ukraine,124000,240000[220000–260000],52[48–56],240000,220000,260000,52,48,56,Europe
United Arab Emirates,Nodata,Nodata,Nodata,,,,,,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland,Nodata,Nodata,Nodata,,,,,,,Europe
United Republic of Tanzania,1109000,1600000[1400000–1700000],71[64–78],1600000,1400000,1700000,71,64,78,Africa
United States of America,Nodata,Nodata,Nodata,,,,,,,Americas
Uruguay,8100,14000[9900–19000],58[41–76],14000,9900,19000,58,41,76,Americas
Uzbekistan,26700,52000[48000–56000],51[47–55],52000,48000,56000,51,47,55,Europe
Venezuela (Bolivarian Republic of),Nodata,120000[100000–130000],Nodata,120000,100000,130000,,,,Americas
Viet Nam,150000,230000[200000–260000],65[57–73],230000,200000,260000,65,57,73,Western Pacific
Yemen,2200,11000[6500–18000],21[12–35],11000,6500,18000,21,12,35,Eastern Mediterranean
Zambia,965000,1200000[1100000–1400000],78[69–88],1200000,1100000,1400000,78,69,88,Africa
Zimbabwe,1151000,1300000[1100000–1500000],88[77–95],1300000,1100000,1500000,88,77,95,Africa
